Date,Voice,Party,AverageVotes,avg_sentiment,No_News
2024-09-13,MSNBC,Republican,233,0.055065,100
2024-09-14,MSNBC,Democratic,317,0.122513,100
2024-09-14,MSNBC,Republican,221,0.122513,100
2024-09-15,MSNBC,Democratic,317,0.177178,100
2024-09-15,MSNBC,Republican,221,0.177178,100
2024-09-16,MSNBC,Democratic,321,0.162661,100
2024-09-16,MSNBC,Republican,217,0.162661,100
2024-09-17,MSNBC,Democratic,316,-0.002890000000000003,100
2024-09-17,MSNBC,Republican,222,-0.002890000000000003,100
2024-09-18,MSNBC,Democratic,319,0.12109400000000001,100
2024-09-18,MSNBC,Republican,219,0.12109400000000001,100
2024-09-19,MSNBC,Democratic,318,0.044624,100
2024-09-19,MSNBC,Republican,220,0.044624,100
2024-09-20,MSNBC,Democratic,317,0.051529,100
2024-09-20,MSNBC,Republican,221,0.051529,100
2024-09-21,MSNBC,Democratic,319,0.07308888888888888,100
2024-09-21,MSNBC,Republican,219,0.07308888888888888,100
2024-09-22,MSNBC,Democratic,316,0.090898,100
2024-09-22,MSNBC,Republican,222,0.090898,100
2024-09-23,MSNBC,Democratic,319,0.103454,100
2024-09-23,MSNBC,Republican,219,0.103454,100
2024-09-24,MSNBC,Democratic,326,0.027053,100
2024-09-24,MSNBC,Republican,212,0.027053,100
2024-09-25,MSNBC,Democratic,318,0.118505,100
2024-09-25,MSNBC,Republican,220,0.118505,100
2024-09-26,MSNBC,Democratic,316,0.043932,100
2024-09-26,MSNBC,Republican,222,0.043932,100
2024-09-27,MSNBC,Democratic,317,0.040547,100
2024-09-27,MSNBC,Republican,221,0.040547,100
2024-09-28,MSNBC,Democratic,297,0.04408,100
2024-09-28,MSNBC,Republican,241,0.04408,100
NA,NA,NA,NA,NA,NA
