state,state_name_count,feed_date
South Dakota,0,2024-08-18
Tennessee,0,2024-08-18
Texas,0,2024-08-18
Utah,0,2024-08-18
Vermont,0,2024-08-18
Virginia,0,2024-08-18
Washington,6,2024-08-18
West Virginia,0,2024-08-18
Wisconsin,0,2024-08-18
Wyoming,0,2024-08-18
DC,0,2024-08-18
Alabama,0,2024-08-24
Alaska,0,2024-08-24
Arizona,0,2024-08-24
Arkansas,0,2024-08-24
California,2,2024-08-24
Colorado,0,2024-08-24
Connecticut,0,2024-08-24
Delaware,0,2024-08-24
Florida,0,2024-08-24
Georgia,1,2024-08-24
Hawaii,0,2024-08-24
Idaho,0,2024-08-24
Illinois,1,2024-08-24
Indiana,0,2024-08-24
Iowa,0,2024-08-24
Kansas,3,2024-08-24
Kentucky,0,2024-08-24
Louisiana,0,2024-08-24
Maine,0,2024-08-24
Maryland,0,2024-08-24
Massachusetts,0,2024-08-24
Michigan,0,2024-08-24
Minnesota,2,2024-08-24
Mississippi,3,2024-08-24
Missouri,0,2024-08-24
Montana,0,2024-08-24
Nebraska,0,2024-08-24
Nevada,0,2024-08-24
New Hampshire,0,2024-08-24
New Jersey,0,2024-08-24
New Mexico,0,2024-08-24
New York,3,2024-08-24
North Carolina,0,2024-08-24
North Dakota,0,2024-08-24
Ohio,17,2024-08-24
Oklahoma,0,2024-08-24
Oregon,0,2024-08-24
Pennsylvania,0,2024-08-24
Rhode Island,0,2024-08-24
South Carolina,0,2024-08-24
South Dakota,0,2024-08-24
Tennessee,0,2024-08-24
Texas,1,2024-08-24
Utah,0,2024-08-24
Vermont,0,2024-08-24
Virginia,0,2024-08-24
Washington,2,2024-08-24
West Virginia,0,2024-08-24
Wisconsin,0,2024-08-24
Wyoming,0,2024-08-24
DC,1,2024-08-24
Alabama,0,2024-08-30
Alaska,0,2024-08-30
Arizona,0,2024-08-30
Arkansas,0,2024-08-30
California,0,2024-08-30
Colorado,0,2024-08-30
Connecticut,0,2024-08-30
Delaware,0,2024-08-30
Florida,0,2024-08-30
Georgia,0,2024-08-30
Hawaii,0,2024-08-30
Idaho,0,2024-08-30
Illinois,0,2024-08-30
Indiana,1,2024-08-30
Iowa,0,2024-08-30
Kansas,0,2024-08-30
Kentucky,0,2024-08-30
Louisiana,0,2024-08-30
Maine,0,2024-08-30
Maryland,0,2024-08-30
Massachusetts,0,2024-08-30
Michigan,1,2024-08-30
Minnesota,0,2024-08-30
Mississippi,0,2024-08-30
Missouri,0,2024-08-30
Montana,0,2024-08-30
Nebraska,0,2024-08-30
Nevada,0,2024-08-30
New Hampshire,0,2024-08-30
New Jersey,0,2024-08-30
New Mexico,0,2024-08-30
New York,39,2024-08-30
North Carolina,0,2024-08-30
North Dakota,0,2024-08-30
Ohio,0,2024-08-30
Oklahoma,0,2024-08-30
Oregon,0,2024-08-30
Pennsylvania,0,2024-08-30
Rhode Island,0,2024-08-30
South Carolina,0,2024-08-30
South Dakota,0,2024-08-30
Tennessee,0,2024-08-30
Texas,0,2024-08-30
Utah,0,2024-08-30
Vermont,0,2024-08-30
Virginia,0,2024-08-30
Washington,9,2024-08-30
West Virginia,0,2024-08-30
Wisconsin,1,2024-08-30
Wyoming,0,2024-08-30
DC,0,2024-08-30
Alabama,0,2024-08-31
Alaska,0,2024-08-31
Arizona,0,2024-08-31
Arkansas,0,2024-08-31
California,0,2024-08-31
Colorado,0,2024-08-31
Connecticut,1,2024-08-31
Delaware,0,2024-08-31
Florida,5,2024-08-31
Georgia,0,2024-08-31
Hawaii,1,2024-08-31
Idaho,0,2024-08-31
Illinois,0,2024-08-31
Indiana,0,2024-08-31
Iowa,0,2024-08-31
Kansas,0,2024-08-31
Kentucky,0,2024-08-31
Louisiana,0,2024-08-31
Maine,0,2024-08-31
Maryland,0,2024-08-31
Massachusetts,0,2024-08-31
Michigan,2,2024-08-31
Minnesota,3,2024-08-31
Mississippi,0,2024-08-31
Missouri,0,2024-08-31
Montana,0,2024-08-31
Nebraska,0,2024-08-31
Nevada,0,2024-08-31
New Hampshire,0,2024-08-31
New Jersey,0,2024-08-31
New Mexico,0,2024-08-31
New York,10,2024-08-31
North Carolina,3,2024-08-31
North Dakota,0,2024-08-31
Ohio,3,2024-08-31
Oklahoma,0,2024-08-31
Oregon,0,2024-08-31
Pennsylvania,7,2024-08-31
Rhode Island,0,2024-08-31
South Carolina,0,2024-08-31
South Dakota,0,2024-08-31
Tennessee,0,2024-08-31
Texas,0,2024-08-31
Utah,0,2024-08-31
Vermont,0,2024-08-31
Virginia,0,2024-08-31
Washington,2,2024-08-31
West Virginia,0,2024-08-31
Wisconsin,0,2024-08-31
Wyoming,0,2024-08-31
DC,0,2024-08-31
Alabama,0,2024-08-25
Alaska,0,2024-08-25
Arizona,4,2024-08-25
Arkansas,0,2024-08-25
California,0,2024-08-25
Colorado,0,2024-08-25
Connecticut,0,2024-08-25
Delaware,0,2024-08-25
Florida,0,2024-08-25
Georgia,0,2024-08-25
Hawaii,0,2024-08-25
Idaho,0,2024-08-25
Illinois,2,2024-08-25
Indiana,0,2024-08-25
Iowa,0,2024-08-25
Kansas,0,2024-08-25
Kentucky,0,2024-08-25
Louisiana,0,2024-08-25
Maine,0,2024-08-25
Maryland,0,2024-08-25
Massachusetts,0,2024-08-25
Michigan,1,2024-08-25
Minnesota,0,2024-08-25
Mississippi,0,2024-08-25
Missouri,0,2024-08-25
Montana,0,2024-08-25
Nebraska,0,2024-08-25
Nevada,0,2024-08-25
New Hampshire,0,2024-08-25
New Jersey,0,2024-08-25
New Mexico,0,2024-08-25
New York,0,2024-08-25
North Carolina,0,2024-08-25
North Dakota,0,2024-08-25
Ohio,0,2024-08-25
Oklahoma,0,2024-08-25
Oregon,0,2024-08-25
Pennsylvania,0,2024-08-25
Rhode Island,0,2024-08-25
South Carolina,0,2024-08-25
South Dakota,0,2024-08-25
Tennessee,0,2024-08-25
Texas,0,2024-08-25
Utah,0,2024-08-25
Vermont,0,2024-08-25
Virginia,0,2024-08-25
Washington,2,2024-08-25
West Virginia,0,2024-08-25
Wisconsin,0,2024-08-25
Wyoming,0,2024-08-25
DC,0,2024-08-25
Alabama,0,2024-08-19
Alaska,0,2024-08-19
Arizona,0,2024-08-19
Arkansas,0,2024-08-19
California,0,2024-08-19
Colorado,0,2024-08-19
Connecticut,0,2024-08-19
Delaware,0,2024-08-19
Florida,0,2024-08-19
Georgia,0,2024-08-19
Hawaii,0,2024-08-19
Idaho,0,2024-08-19
Illinois,0,2024-08-19
Indiana,0,2024-08-19
Iowa,1,2024-08-19
Kansas,0,2024-08-19
Kentucky,0,2024-08-19
Louisiana,0,2024-08-19
Maine,0,2024-08-19
Maryland,0,2024-08-19
Massachusetts,0,2024-08-19
Michigan,0,2024-08-19
Minnesota,10,2024-08-19
Mississippi,0,2024-08-19
Missouri,0,2024-08-19
Montana,0,2024-08-19
Nebraska,3,2024-08-19
Nevada,0,2024-08-19
New Hampshire,0,2024-08-19
New Jersey,0,2024-08-19
New Mexico,0,2024-08-19
New York,1,2024-08-19
North Carolina,3,2024-08-19
North Dakota,0,2024-08-19
Ohio,1,2024-08-19
Oklahoma,0,2024-08-19
Oregon,0,2024-08-19
Pennsylvania,9,2024-08-19
Rhode Island,0,2024-08-19
South Carolina,1,2024-08-19
South Dakota,0,2024-08-19
Tennessee,0,2024-08-19
Texas,0,2024-08-19
Utah,0,2024-08-19
Vermont,0,2024-08-19
Virginia,1,2024-08-19
Washington,14,2024-08-19
West Virginia,0,2024-08-19
Wisconsin,0,2024-08-19
Wyoming,0,2024-08-19
DC,0,2024-08-19
Alabama,0,2024-09-16
Alaska,0,2024-09-16
Arizona,0,2024-09-16
Arkansas,0,2024-09-16
California,0,2024-09-16
Colorado,0,2024-09-16
Connecticut,0,2024-09-16
Delaware,0,2024-09-16
Florida,19,2024-09-16
Georgia,0,2024-09-16
Hawaii,0,2024-09-16
Idaho,0,2024-09-16
Illinois,0,2024-09-16
Indiana,0,2024-09-16
Iowa,0,2024-09-16
Kansas,22,2024-09-16
Kentucky,0,2024-09-16
Louisiana,0,2024-09-16
Maine,0,2024-09-16
Maryland,1,2024-09-16
Massachusetts,0,2024-09-16
Michigan,0,2024-09-16
Minnesota,0,2024-09-16
Mississippi,0,2024-09-16
Missouri,0,2024-09-16
Montana,0,2024-09-16
Nebraska,0,2024-09-16
Nevada,0,2024-09-16
New Hampshire,0,2024-09-16
New Jersey,0,2024-09-16
New Mexico,0,2024-09-16
New York,0,2024-09-16
North Carolina,0,2024-09-16
North Dakota,0,2024-09-16
Ohio,0,2024-09-16
Oklahoma,0,2024-09-16
Oregon,0,2024-09-16
Pennsylvania,0,2024-09-16
Rhode Island,0,2024-09-16
South Carolina,0,2024-09-16
South Dakota,0,2024-09-16
Tennessee,0,2024-09-16
Texas,0,2024-09-16
Utah,0,2024-09-16
Vermont,0,2024-09-16
Virginia,0,2024-09-16
Washington,15,2024-09-16
West Virginia,0,2024-09-16
Wisconsin,0,2024-09-16
Wyoming,0,2024-09-16
DC,0,2024-09-16
Alabama,0,2024-09-02
Alaska,0,2024-09-02
Arizona,0,2024-09-02
Arkansas,0,2024-09-02
California,0,2024-09-02
Colorado,0,2024-09-02
Connecticut,0,2024-09-02
Delaware,0,2024-09-02
Florida,3,2024-09-02
Georgia,2,2024-09-02
Hawaii,0,2024-09-02
Idaho,0,2024-09-02
Illinois,0,2024-09-02
Indiana,0,2024-09-02
Iowa,0,2024-09-02
Kansas,1,2024-09-02
Kentucky,0,2024-09-02
Louisiana,0,2024-09-02
Maine,0,2024-09-02
Maryland,0,2024-09-02
Massachusetts,0,2024-09-02
Michigan,0,2024-09-02
Minnesota,0,2024-09-02
Mississippi,0,2024-09-02
Missouri,0,2024-09-02
Montana,0,2024-09-02
Nebraska,0,2024-09-02
Nevada,0,2024-09-02
New Hampshire,0,2024-09-02
New Jersey,0,2024-09-02
New Mexico,0,2024-09-02
New York,2,2024-09-02
North Carolina,9,2024-09-02
North Dakota,0,2024-09-02
Ohio,0,2024-09-02
Oklahoma,0,2024-09-02
Oregon,0,2024-09-02
Pennsylvania,3,2024-09-02
Rhode Island,0,2024-09-02
South Carolina,0,2024-09-02
South Dakota,0,2024-09-02
Tennessee,0,2024-09-02
Texas,0,2024-09-02
Utah,0,2024-09-02
Vermont,0,2024-09-02
Virginia,0,2024-09-02
Washington,10,2024-09-02
West Virginia,0,2024-09-02
